GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sinapipro-api,com.sinapipro.api.schedule.api,ScheduleController.CreateActivityRequest,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.security.api,TokenResponse,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.security.api,TokenGrantType,15,0,0,0,3,0,1,0,1,0
sinapipro-api,com.sinapipro.api.security.api,TokenRequest,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.security.api,AuthController,26,0,2,0,6,0,3,0,2,0
sinapipro-api,com.sinapipro.api.shared.observability,BusinessObservationService,31,0,0,0,11,0,2,0,2,0
sinapipro-api,com.sinapipro.api.shared.observability,BusinessMetricsService,32,0,0,0,5,0,2,0,2,0
sinapipro-api,com.sinapipro.api.equipment.api,EquipmentController.MaintenanceScheduleRequest,9,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.equipment.api,EquipmentController.CreateEquipmentRequest,27,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.equipment.api,EquipmentController,102,0,2,0,18,0,9,0,8,0
sinapipro-api,com.sinapipro.api.equipment.api,EquipmentController.UsageResponse,37,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.equipment.api,EquipmentController.EquipmentResponse,67,0,0,0,4,0,2,0,2,0
sinapipro-api,com.sinapipro.api.equipment.api,EquipmentController.RecordUsageRequest,21,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.timetracking.domain,TimesheetEntry,103,0,0,0,23,0,16,0,16,0
sinapipro-api,com.sinapipro.api.submittal.domain,Submittal,184,0,14,0,39,0,27,0,20,0
sinapipro-api,com.sinapipro.api.submittal.domain,SubmittalStatus,39,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.schedule.application,SCurveService.SCurveData,0,6,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.schedule.application,CriticalPathService,0,480,3,33,0,80,3,18,0,3
sinapipro-api,com.sinapipro.api.schedule.application,SCurveService,1,192,2,18,0,35,2,10,0,2
sinapipro-api,com.sinapipro.api.schedule.application,CriticalPathService.CriticalActivity,0,30,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.schedule.application,CriticalPathService.CriticalPathResult,0,16,0,0,0,2,0,2,0,2
sinapipro-api,com.sinapipro.api.schedule.application,SCurveService.SCurvePoint,0,12,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.supplier.application,SupplierService,207,0,4,0,34,0,12,0,10,0
sinapipro-api,com.sinapipro.api.forecast.application,DelayForecastService.RiskFactor,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.forecast.application,DelayForecastService,298,0,30,0,50,0,17,0,2,0
sinapipro-api,com.sinapipro.api.forecast.application,DelayForecastService.DelayForecast,21,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.jobcosting.application,WipReportService,5,82,4,8,0,21,3,5,0,2
sinapipro-api,com.sinapipro.api.jobcosting.application,JobCostingService.CostCodeSummary,0,21,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.jobcosting.application,WipReportService.WipStatus,0,21,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.jobcosting.application,WipReportService.WipReport,0,18,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.jobcosting.application,JobCostingService,0,104,0,0,0,19,0,5,0,5
sinapipro-api,com.sinapipro.api.jobcosting.application,JobCostingService.BudgetCostSummary,0,15,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.shared.events,OperationEventType,0,33,0,0,0,6,0,1,0,1
sinapipro-api,com.sinapipro.api.shared.events,OperationEventPublisher,62,0,0,0,11,0,5,0,5,0
sinapipro-api,com.sinapipro.api.shared.events,OperationEvent,27,0,0,0,2,0,2,0,2,0
sinapipro-api,com.sinapipro.api.measurement.api,MeasurementController,109,0,0,0,19,0,11,0,11,0
